Localidade,Variação_Mensal_%,Variação_acumulada_no_ano_%
Brasil,0.1,3.14
Aracaju,0.0,3.53
Brasília,0.15,3.23
Campo Grande,0.43,3.83
Goiânia,0.38,2.91
Rio Branco,-0.05,3.75
São Luís,-0.45,1.16
