Produto,2020,2021,2022
Cana-de-açúcar,144593999,138665786,131656283
Milho (em grão),56672192,48543820,62238988
Soja (em grão),59149426,61535453,62083262
Algodão herbáceo (em caroço),5198167,4237737,4651710
Sorgo (em grão),1407747,1388581,1507252
Mandioca,1379591,1457854,1432182
Tomate,1132028,1059087,1026562
Feijão (em grão),769548,735987,668109
Arroz (em casca),574159,583918,515662
