Países,Valor_2022_US$
Importação,5981330933
China,1129713482
Demais países,768632013
Rússia,603277010
Estados Unidos,570718345
Alemanha,449741612
Canadá,392709310
Tailândia,301258749
Argentina,265768253
Irlanda,252244388
Suíça,230051341
Marrocos,209482456
Índia,200241099
Japão,180674308
Itália,107830338
Nigéria,100836943
Chile,75607702
Espanha,73384830
Israel,69158754
