Produto,2020,2021,2022
Cana-de-açúcar,756070576,715679276,724428135
Soja (em grão),121820949,134799179,120701031
Milho (em grão),103990935,88272116,109420717
Mandioca,18197572,18220656,17648564
Laranja,16721556,16217839,16929631
Arroz (em casca),11091011,11660605,10776268
Trigo (em grão),6344079,7878413,10343182
Banana (cacho),6593437,6803350,6854222
Algodão herbáceo (em caroço),7070136,5711692,6422030
Batata-inglesa,3752999,3853464,3889797
