Produto,2020,2021,2022
Cana-de-açúcar,75873273,72012198,73525072
Soja (em grão),12849800,13659826,15216144
Milho (em grão),11838775,10750433,10709893
Sorgo (em grão),1165597,1140088,1045555
Tomate,1098311,1026055,993452
Feijão (em grão),353457,341189,342170
Melancia,225295,278282,239090
Batata-inglesa,183104,177618,223415
Banana (cacho),221539,202049,198033
Mandioca,182132,180820,183839
